action,turn_deg,reward
-3.400000035762786865e-01,-3.060000038146972656e+01,9.566479921340942383e-01
-3.300000131130218506e-01,-2.970000076293945312e+01,9.522179365158081055e-01
-3.199999928474426270e-01,-2.879999923706054688e+01,9.477142095565795898e-01
-3.100000023841857910e-01,-2.789999961853027344e+01,9.431555271148681641e-01
-3.000000119209289551e-01,-2.700000190734863281e+01,9.385600686073303223e-01
-2.899999916553497314e-01,-2.609999847412109375e+01,9.339452981948852539e-01
-2.800000011920928955e-01,-2.520000076293945312e+01,9.293283224105834961e-01
-2.700000107288360596e-01,-2.430000114440917969e+01,9.247254133224487305e-01
-2.599999904632568359e-01,-2.339999961853027344e+01,9.201526045799255371e-01
-2.500000000000000000e-01,-2.250000000000000000e+01,9.156250357627868652e-01
-2.399999946355819702e-01,-2.160000038146972656e+01,9.111573696136474609e-01
-2.300000041723251343e-01,-2.070000076293945312e+01,9.067638516426086426e-01
-2.199999988079071045e-01,-1.979999923706054688e+01,9.024578928947448730e-01
-2.099999934434890747e-01,-1.889999961853027344e+01,8.982524871826171875e-01
-2.000000029802322388e-01,-1.800000000000000000e+01,8.941600322723388672e-01
-1.899999976158142090e-01,-1.710000038146972656e+01,8.901923298835754395e-01
-1.800000071525573730e-01,-1.620000076293945312e+01,8.863605856895446777e-01
-1.700000017881393433e-01,-1.530000019073486328e+01,8.826755285263061523e-01
-1.599999964237213135e-01,-1.439999961853027344e+01,8.791471719741821289e-01
-1.500000059604644775e-01,-1.350000095367431641e+01,8.757850527763366699e-01
-1.400000005960464478e-01,-1.260000038146972656e+01,8.725980520248413086e-01
-1.299999952316284180e-01,-1.169999980926513672e+01,8.695945739746093750e-01
-1.199999973177909851e-01,-1.080000019073486328e+01,8.667823672294616699e-01
-1.099999994039535522e-01,-9.899999618530273438e+00,8.641686439514160156e-01
-1.000000014901161194e-01,-9.000000000000000000e+00,8.617600202560424805e-01
-9.000000357627868652e-02,-8.100000381469726562e+00,8.595625758171081543e-01
-7.999999821186065674e-02,-7.199999809265136719e+00,8.575817346572875977e-01
-7.000000029802322388e-02,-6.300000190734863281e+00,8.558223843574523926e-01
-5.999999865889549255e-02,-5.400000095367431641e+00,8.542889356613159180e-01
-5.000000074505805969e-02,-4.500000000000000000e+00,8.529850244522094727e-01
-3.999999910593032837e-02,-3.599999904632568359e+00,8.519138693809509277e-01
-2.999999932944774628e-02,-2.700000047683715820e+00,8.510780930519104004e-01
-1.999999955296516418e-02,-1.799999952316284180e+00,8.504796624183654785e-01
-9.999999776482582092e-03,-8.999999761581420898e-01,8.501200079917907715e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.500000238418579102e-01
9.999999776482582092e-03,8.999999761581420898e-01,8.501200079917907715e-01
1.999999955296516418e-02,1.799999952316284180e+00,8.504796624183654785e-01
2.999999932944774628e-02,2.700000047683715820e+00,8.510780930519104004e-01
3.999999910593032837e-02,3.599999904632568359e+00,8.519138693809509277e-01
5.000000074505805969e-02,4.500000000000000000e+00,8.529850244522094727e-01
5.999999865889549255e-02,5.400000095367431641e+00,8.542889356613159180e-01
7.000000029802322388e-02,6.300000190734863281e+00,8.558223843574523926e-01
7.999999821186065674e-02,7.199999809265136719e+00,8.575817346572875977e-01
9.000000357627868652e-02,8.100000381469726562e+00,8.595625758171081543e-01
1.000000014901161194e-01,9.000000000000000000e+00,8.617600202560424805e-01
1.099999994039535522e-01,9.899999618530273438e+00,8.641686439514160156e-01
1.199999973177909851e-01,1.080000019073486328e+01,8.667823672294616699e-01
1.299999952316284180e-01,1.169999980926513672e+01,8.695945739746093750e-01
1.400000005960464478e-01,1.260000038146972656e+01,8.725980520248413086e-01
1.500000059604644775e-01,1.350000095367431641e+01,8.757850527763366699e-01
1.599999964237213135e-01,1.439999961853027344e+01,8.791471719741821289e-01
1.700000017881393433e-01,1.530000019073486328e+01,8.826755285263061523e-01
1.800000071525573730e-01,1.620000076293945312e+01,8.863605856895446777e-01
1.899999976158142090e-01,1.710000038146972656e+01,8.901923298835754395e-01
2.000000029802322388e-01,1.800000000000000000e+01,8.941600322723388672e-01
2.099999934434890747e-01,1.889999961853027344e+01,8.982524871826171875e-01
2.199999988079071045e-01,1.979999923706054688e+01,9.024578928947448730e-01
2.300000041723251343e-01,2.070000076293945312e+01,9.067638516426086426e-01
2.399999946355819702e-01,2.160000038146972656e+01,9.111573696136474609e-01
2.500000000000000000e-01,2.250000000000000000e+01,9.156250357627868652e-01
2.599999904632568359e-01,2.339999961853027344e+01,9.201526045799255371e-01
2.700000107288360596e-01,2.430000114440917969e+01,9.247254133224487305e-01
2.800000011920928955e-01,2.520000076293945312e+01,9.293283224105834961e-01
2.899999916553497314e-01,2.609999847412109375e+01,9.339452981948852539e-01
3.000000119209289551e-01,2.700000190734863281e+01,9.385600686073303223e-01
3.100000023841857910e-01,2.789999961853027344e+01,9.431555271148681641e-01
3.199999928474426270e-01,2.879999923706054688e+01,9.477142095565795898e-01
3.300000131130218506e-01,2.970000076293945312e+01,9.522179365158081055e-01
3.400000035762786865e-01,3.060000038146972656e+01,9.566479921340942383e-01
3.499999940395355225e-01,3.150000000000000000e+01,9.609850049018859863e-01
3.600000143051147461e-01,3.240000152587890625e+01,9.652092456817626953e-01
3.700000047683715820e-01,3.329999923706054688e+01,9.693001508712768555e-01
3.799999952316284180e-01,3.420000076293945312e+01,9.732367396354675293e-01
3.899999856948852539e-01,3.509999847412109375e+01,9.769974350929260254e-01
4.000000059604644775e-01,3.600000000000000000e+01,9.805600643157958984e-01
4.099999964237213135e-01,3.690000152587890625e+01,9.839017391204833984e-01
4.199999868869781494e-01,3.779999923706054688e+01,9.869993329048156738e-01
4.300000071525573730e-01,3.870000076293945312e+01,9.898288249969482422e-01
4.399999976158142090e-01,3.959999847412109375e+01,9.923657178878784180e-01
4.499999880790710449e-01,4.050000000000000000e+01,9.945850372314453125e-01
4.600000083446502686e-01,4.140000152587890625e+01,9.964610934257507324e-01
4.699999988079071045e-01,4.229999923706054688e+01,9.979677200317382812e-01
4.799999892711639404e-01,4.320000076293945312e+01,9.990780353546142578e-01
4.900000095367431641e-01,4.410000228881835938e+01,9.997648000717163086e-01
5.000000000000000000e-01,4.500000000000000000e+01,1.000000000000000000e+00
5.099999904632568359e-01,4.589999771118164062e+01,9.998186230659484863e-01
5.199999809265136719e-01,4.679999923706054688e+01,9.992601275444030762e-01
5.299999713897705078e-01,4.769999694824218750e+01,9.983025789260864258e-01
5.400000214576721191e-01,4.860000228881835938e+01,9.969234466552734375e-01
5.500000119209289551e-01,4.950000000000000000e+01,9.950999617576599121e-01
5.600000023841857910e-01,5.040000152587890625e+01,9.928089380264282227e-01
5.699999928474426270e-01,5.129999923706054688e+01,9.900266528129577637e-01
5.799999833106994629e-01,5.219999694824218750e+01,9.867289662361145020e-01
5.899999737739562988e-01,5.309999847412109375e+01,9.828913211822509766e-01
6.000000238418579102e-01,5.400000381469726562e+01,9.784888625144958496e-01
6.100000143051147461e-01,5.490000152587890625e+01,9.734961390495300293e-01
6.200000047683715820e-01,5.579999923706054688e+01,9.678873419761657715e-01
6.299999952316284180e-01,5.670000076293945312e+01,9.616361856460571289e-01
6.399999856948852539e-01,5.759999847412109375e+01,9.547161459922790527e-01
6.499999761581420898e-01,5.849999618530273438e+01,9.471000432968139648e-01
6.600000262260437012e-01,5.940000152587890625e+01,9.387601017951965332e-01
6.700000166893005371e-01,6.030000305175781250e+01,9.296688437461853027e-01
6.800000071525573730e-01,6.120000076293945312e+01,9.197977781295776367e-01
6.899999976158142090e-01,6.209999847412109375e+01,9.091178178787231445e-01
6.999999880790710449e-01,6.300000000000000000e+01,8.975999951362609863e-01
7.099999785423278809e-01,6.389999771118164062e+01,8.852145671844482422e-01
7.200000286102294922e-01,6.480000305175781250e+01,8.719314336776733398e-01
7.300000190734863281e-01,6.570000457763671875e+01,8.577200770378112793e-01
7.400000095367431641e-01,6.659999847412109375e+01,8.425497412681579590e-01
7.500000000000000000e-01,6.750000000000000000e+01,8.263888359069824219e-01
7.599999904632568359e-01,6.840000152587890625e+01,8.092056512832641602e-01
7.699999809265136719e-01,6.929999542236328125e+01,7.909681200981140137e-01
7.799999713897705078e-01,7.019999694824218750e+01,7.716435194015502930e-01
7.900000214576721191e-01,7.109999847412109375e+01,7.511985301971435547e-01
8.000000119209289551e-01,7.200000000000000000e+01,7.295998930931091309e-01
8.100000023841857910e-01,7.290000152587890625e+01,7.068136930465698242e-01
8.199999928474426270e-01,7.380000305175781250e+01,6.828056573867797852e-01
8.299999833106994629e-01,7.469999694824218750e+01,6.575409173965454102e-01
8.399999737739562988e-01,7.559999847412109375e+01,6.309843063354492188e-01
8.500000238418579102e-01,7.650000000000000000e+01,6.030999422073364258e-01
8.600000143051147461e-01,7.740000152587890625e+01,5.738521218299865723e-01
8.700000047683715820e-01,7.830000305175781250e+01,5.432040095329284668e-01
8.799999952316284180e-01,7.919999694824218750e+01,5.111193060874938965e-01
8.899999856948852539e-01,8.009999847412109375e+01,4.775602221488952637e-01
8.999999761581420898e-01,8.100000000000000000e+01,4.424887299537658691e-01
9.100000262260437012e-01,8.190000152587890625e+01,4.058668017387390137e-01
9.200000166893005371e-01,8.280000305175781250e+01,3.676564097404479980e-01
9.300000071525573730e-01,8.369999694824218750e+01,3.278186917304992676e-01
9.399999976158142090e-01,8.459999847412109375e+01,2.863129973411560059e-01
9.499999880790710449e-01,8.550000000000000000e+01,2.430998086929321289e-01
9.599999785423278809e-01,8.640000152587890625e+01,1.981393098831176758e-01
9.700000286102294922e-01,8.730000305175781250e+01,1.513904929161071777e-01
9.800000190734863281e-01,8.820000457763671875e+01,1.028116941452026367e-01
9.900000095367431641e-01,8.909999847412109375e+01,5.236250162124633789e-02
1.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00
1.009999990463256836e+00,9.090000152587890625e+01,0.000000000000000000e+00
1.019999980926513672e+00,9.179999542236328125e+01,0.000000000000000000e+00
1.029999971389770508e+00,9.269999694824218750e+01,0.000000000000000000e+00
1.039999961853027344e+00,9.359999847412109375e+01,0.000000000000000000e+00
1.049999952316284180e+00,9.449999237060546875e+01,0.000000000000000000e+00
1.059999942779541016e+00,9.539999389648437500e+01,0.000000000000000000e+00
1.070000052452087402e+00,9.630000305175781250e+01,0.000000000000000000e+00
1.080000042915344238e+00,9.720000457763671875e+01,0.000000000000000000e+00
1.090000033378601074e+00,9.810000610351562500e+01,0.000000000000000000e+00
1.100000023841857910e+00,9.900000000000000000e+01,0.000000000000000000e+00
